Object,Pos x,Pos y,Pos z,Rot x,Rot y,Rot z,Packed,Used for GA
object7.obj,0.2435376,0.4219053,0.1172358,329.6241,197.9642,289.9609,Y,Y
pipe13.obj,0.2350437,0.09882096,-0.2109925,15.83997,87.80243,90.02145,Y,Y
pipe1.obj,-0.6199723,0.04133892,0.39913,350.2954,19.81756,35.01853,N,N
concrete6.obj,0.1027869,0.4112752,0.245717,7.691495,305.6662,183.5909,Y,Y
pipe11.obj,-0.6617682,0.03299383,-0.7257797,41.57264,170.629,89.8813,N,N
concrete2.obj,0.1718935,0.4052201,-0.2288591,3.272148,10.68413,337.1054,Y,Y
pipe7.obj,-0.06999615,0.5106645,0.04684633,10.35711,21.07795,77.04085,Y,N
object6.obj,-0.1981521,0.3694358,0.204544,18.23169,253.806,83.02712,Y,Y
pipe8.obj,0.262097,0.1906894,-0.008341154,279.0391,267.1375,272.4066,Y,Y
pipe10.obj,0.1694199,0.5806774,-0.0552821,51.13852,221.1064,90.02486,Y,Y
pipe3.obj,-0.1741922,0.1239613,-0.8382466,302.0268,341.3829,255.8124,N,N
concrete4.obj,-0.1000899,0.2003545,-0.1621242,58.43749,109.5735,101.5907,Y,Y
pipe6.obj,-0.4852974,0.04470744,-0.5465578,25.17095,230.0978,80.72107,N,N
object1.obj,-0.1684747,0.5087965,-0.1662086,8.336861,340.7139,172.7233,Y,Y
concrete1.obj,-0.00761605,0.2009933,0.1116199,0.2846489,283.6315,354.845,Y,Y

